question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
What is the predominant energy source during steady-state endurance events (Marathons)?,First 90 minutes: Glycogen (Muscle >>> Liver) After 90 minutes: Free Fatty Acids,,sports,global,,,,sports,muscle,muscle,,
What is Periodization?,Planned Variation in Intensity and Duration of a specific workout over a Predefined Duration of time,(Strength and conditioning term),sports,global,,,,sports,musculoskeletal system,musculoskeletal system,,
What is the Aerobic Threshold?,Level of effort at which anaerobic energy pathways become significant energy producer,,sports,global,,,,sports,musculoskeletal system,musculoskeletal system,,
What is the Anaerobic Threshold?,Level of effort at which Lactate Production > Lactate Removal,,sports,global,,,,sports,muscle,muscle,,
"In Strength Training, what are increases in strength due to?",Adolescents: Improved neuromuscular activation and coordination  Adults: Muscle Hypertrophy,Gains for adolescents are reversible if training is discontinued,sports,global,,,,sports,muscle hypertrophy,muscle hypertrophy,,
What is the cause of Muscle Soreness?,Edema & Inflammation in the Connective Tissue,Leads to increased Intramuscular Pressure Occurs primarily in Type IIB fibers,sports,global,,,,sports,musculoskeletal,musculoskeletal,,
What type of exercise causes the most Muscle Soreness?,Unaccustomed Eccentric exercise,,sports,global,,,,sports,muscle bellies,muscle bellies,,
"During PCL injury, what is the most common position of the knee and ankle?",Noncontact Hyperflexion with a Plantarflexed Foot,,sports,knee,,,,sports,knee and ankle,knee and ankle,,
What is the function of the PCL?,PCL is the primary restraint to Posterior Tibial Translation  Functions to prevent Hyperflexion/Sliding  Isolated injuries cause the greatest instability at 90° of flexion,,sports,knee,,,,sports,knee,,,
What is the Size of the PCL compared to the ACL?,38 mm in Length x 13 mm in Diameter  PCL is 30% Larger::Larger/Smaller? than the ACL,,sports,knee,,,,sports,knee,,,
What is the blood supply to the PCL?,Branches of the Middle Geniculate Artery and Fat Pad::2,,sports,knee,,,,sports,knee,,,
How do you perform a Posterior Drawer test?,"With the knee at 90° of flexion, a Posteriorly-directed force is applied to the Proximal Tibia and Posterior Tibial Translation is Quantified      Isolated PCL injuries translate >10-12 mm in Neutral Rotation and 6-8 mm in Internal Rotation",Posterior Drawer Test Video,sports,knee,,,,sports,knee,,,
"In PCL injury, what is the indication for nonoperative treatment?",Isolated Grade I (partial) and II (complete isolated) injuries,Protected weight bearing & rehab,sports,knee,,,,sports,knee,,,
Strengthening of what muscle groups is the mainstay of treatment during nonoperative management of a PCL tear?,Quadriceps Rehabilitation with a focus on Knee Extensor Strengthening,,sports,knee,,,,sports,knee extensor,knee extensor,pcl tear,
What are the indications to perform a PCL repair or reconstruction?,PCL + ACL or PLC injuries  PCL + Grade III MCL or LCL injuries  Isolated Grade II or III injuries with Bony Avulsion  Isolated Chronic PCL injuries with a Functionally Unstable Knee,,sports,knee,,,,sports,knee,,,
"For PCL Injury, what are the indications to perform a High Tibial Osteotomy?",Chronic PCL deficiency,Medially can correct varus deformity and tibial slope,sports,knee,,,,sports,knee,,,osteotomy
What should be done to the Tibial Slope when performing a HTO for a Chronic PCL deficiency?,Increasing the tibial slope helps reduce the posterior sag of the tibia,"Shifts the tibia anterior relative to the femur, preventing posterior tibial translation",sports,knee,tibial plateau,,,sports,tibial plateau,tibial plateau,,
"""For PCL injury, what is the biggest advantage of performing the Open (tibial inlay) Reconstruction?","Biomechanical Advantage with a Decrease in the “Killer Turn"""" with Less Graft Attenuation and Failure""","The residual laxity after transtibial posterior cruciate ligament (PCL) reconstruction has been reported by several authors. The sharp angle where the graft exits the tibial tunnel, which is known as “killer turn”, is believed to be the main reason.",sports,knee,,,,sports,knee,,,
What position should the patient be during Early rehab following PCL reconstruction?,Immobilize in Extension early and Protect against Gravity  Early Motion should be in Prone position,,sports,knee,,,,sports,knee,,,
What exercise should be Avoided following PCL reconstruction?,Resisted Hamstring strengthening exercises (ex. hamstring curls) in early rehab,This is because the hamstrings create a posterior pull on the tibia which increases stress on the graft.   Focus on quadriceps rehabilitation,sports,knee,,,,sports,knee,,,
What is the biggest risk factor for Popliteal artery injury during PCL reconstruction?,At risk when drilling the tibial tunnel (increases with knee Extension),"lies just Posterior to PCL insertion on the Tibia, Separated only by Posterior Capsule",sports,knee,,,,sports,knee,,,
What are the compartments at risk for osteoarthritis in chronic PCL deficiency?,Chronic PCL deficiency causes Increased contact pressures in the Patellofemoral and Medial compartment(s) of the knee due to Varus alignment,,sports,knee,,,,sports,knee,,,
What are the 3 components of the Female Athlete Triad?,Amenorrhea  Insufficient energy availability / Decreased Caloric Intake  Osteoporosis,,sports,pelvis,,,,sports,pelvis,,osteoporosis,
What is the prevalence of a full-thickness rotator cuff tear in a patient over age 60?,70?     Age >60: 28%  Age >70: 65%,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
What are the 4 main risk factors for the development of a degenerative rotator cuff tear?,Age  Smoking  Hypercholesterolemia  Family history,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
What 3 rotator cuff muscles are generally torn in patients > age 40 with a shoulder dislocation?,"(Acute Avulsion injuries)     Acute SIT (Supraspinatus, Infraspinatus, Teres Minor) tears",,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,shoulder dislocation,
What is the medial-lateral width of the rotator cuff footprint?,Medial-Lateral Width at Insertion     Supraspinatus is 12.7 mm (covers superior facet of greater tuberosity)    Infraspinatus is 13.4 mm  Teres minor is 13.9 mm    Subscapularis is 17.9 mm,6-7 mm = 50% tear  ML Width of Suprasinatus:,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What is the AnteroPosterior dimension of the Rotator Cuff footprint?,AP dimension of footprint is 20 mm      Corresponds to insertion of Supraspinatus and Anterior Infraspinatus,RTC AP Footprint,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What is the relative strength of the articular side of the rotator cuff compared to the bursal side?,Articular side has only HALF the strength of Bursal side,Explains why most tears are articular-sided   Rotator cuff histologic areas (5 layers):,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What is the Rotator Crescent?,"Thin, Crescent-shaped sheet of rotator cuff comprising the distal portions of the supraspinatus and infraspinatus insertions",,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,
What particular symptom of a rotator cuff tear is a poor indicator for success with nonoperative management?,Night Pain,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
What is the relative loss of Active ROM compared to loss of passive ROM for rotator cuff tears?,Active > Passive,Passive may be decreased or intact,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
What are the 4 main advantages for obtaining an ultrasound in the assessment of a rotator cuff tear?,Allows for Dynamic Testing  Inexpensive  Readily available at most centers  Helpful to confirm intraarticular injections,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
Are Articular-sided (PASTA Lesions) or Bursal-sided Rotator Cuff tears treated more aggressively?,Bursal-sided,Bursal is on the tension side!!  >25% tear on bursal side is operative vs >50% for articular,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
What modalities are included in Nonoperative management of rotator cuff tears?,"Physical therapy, NSAIDS, Subacromial Corticosteroid injections",Technique: Avoidance of overhead activities PT with aggressive rotator cuff and scapular-stabilizer strengthening over a 3-6 month treatment course Subacromial injections if impingement thought to be major cause of symptoms,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
"With Rotator Cuff tears, what is the indication for a Subacromial Decompression with rotator cuff debridement?","Select patients with a low-grade, partial articular-sided rotator cuff tear",,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,debridement
What are the indications for a rotator cuff repair?,"(Arthroscopic or Mini-Open)     Acute, full-thickness tears  Bursal-sided tears > 3 mm (>25%) in depth Partial articular-sided tears >50% can be treated with tear completion and repair     PASTA with > 7 mm of exposed bony footprint between the articular surface and intact tendon represents significant (>50%) cuff tear (must have at least 25% healthy bursal-sided tissue)",,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,rotator cuff repair
"Following rotator cuff repair, which subgroup of patients have worse outcomes, higher postop disability, and lower patient satisfaction scores?",Worker's Compensation,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,rotator cuff repair
"In Rotator Cuff tears, what are the indications for a Tendon Transfer?",Massive cuff tears,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
"In Rotator Cuff tears, what 2 tendons are most commonly used for tendon transfers?",Pectoralis major (for Subscap)  Latissimus dorsi (for supra and infra tears),Lat best for irreparable posterosuperior tears with intact subscapularis,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
"In Rotator Cuff tears, what is an indication to perform a Superior Capsular Reconstruction?","Massive, irreparable rotator cuff tear with intact Subscapularis","Helps prevent superior migration of humeral head While superior capsular reconstruction is another potential option for younger, more active patients, long term results are currently being elucidated compared to tendon transfers",shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,superior capsular reconstruction
"In Rotator Cuff tears, what is the indication for a reverse total shoulder arthroplasty?",Massive cuff tears with glenohumeral arthritis with intact deltoid,,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,total shoulder arthroplasty
"""In Arthroscopic Rotator Cuff Repair, what is the “Comma sign""""?","SuperoLateral margin of Subscapularis""",Superior Glenohumeral and Coracohumeral ligaments attach to the Subscapularis tendon,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,,rotator cuff repair
"In Rotator Cuff tears, what is the indication for a latissimus dorsi transfer?",Indicated in Large Supraspinatus and Infraspinatus tears  Best candidate is young laborer REQUIRES an intact subscapularis,best for irreparable posterosuperior tears with intact subscapularis,shoulderelbow,shoulder,,,,shoulderelbow,shoulder,,rotator cuff tear,
What 2 nerves are at risk with a latissimus dorsi transfer for Rotator Cuff Repair?,Radial nerve - at risk during tenotomy Posterior branch of the Axillary nerve - at risk during passage of tendon deep to deltoid to subacromial space,"Radial nerve - runs along anterior surface of latissimus dorsi, ~3cm medial to humeral insertion  Posterior branch of the Axillary nerve - runs in deep fascia of posterior deltoid",shoulderelbow,shoulder,,,,shoulderelbow,shoulder region,shoulder region,,rotator cuff repair
