question,answer,additional_info,metadata.specialty,metadata.region,metadata.subregion,metadata.diagnosis,metadata.procedure,metadata.specialty_raw,metadata.region_raw,metadata.subregion_raw,metadata.diagnosis_raw,metadata.procedure_raw
Which elementary acetabulum fracture is the only one to involve both columns?,Transverse,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the most common elementary acetabulum fracture?,Posterior wall,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the most common associated acetabulum fracture?,Transverse posterior wall,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
Which acetabulum fracture is highly associated with posterior hip dislocations?,Posterior wall,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
Fractures involving what percentage of the posterior wall are highly associated with hip joint instability?,≥40%,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What test can be performed to assess the stability of the hip joint following posterior wall fracture?,Exam under anesthesia (EUA),,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
How can you measure the weight-bearing surface of the acetabulum on a fine cut (2 mm) CT scan?,Superior 10 mm (5 cuts) of the acetabulum on axial views,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What are the (5) most common approaches used to fix acetabular fractures?,Ilioinguinal Iliofemoral Modified Stoppa Kocher-Langenbeck Extended iliofemoral,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
Which surgical approach for acetabular fracture fixation is associated with the highest risk of heterotopic ossification?,Extended iliofemoral,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the most common complication following acetabulum fractures?,Post-traumatic arthritis,,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
"Postoperatively, what type of weight bearing has the lowest joint reactive forces?",Touch-down weight bearing,Touchdown weight bearing is defined as not supporting any weight on the affected side by only touching the plantar aspect of the foot to the ground to maintain balance to protect the affected side from mechanical loading.,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the difference between a posterior approach for ORIF of the acetabulum and the posterior approach for a THA?,Must protect the medial femoral circumflex artery with ORIF,Do not transect quadratus femoris muscle or take the short external rotators directly off bone (leave 1 cm cuff) when performing ORIF.,trauma,pelvis,,,orif,trauma,lowerextremity::hip,lowerextremity::hip,,
How will the lower extremity appear with a posterior hip dislocation?,"Shortened, adducted, and internally rotated",Rotation may not be present if there is a large displaced posterior wall fracture,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
How will the lower extremity appear with an anterior hip dislocation?,Abducted and externally rotated,,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
What is the difference between a complex and a simple hip dislocation?,Simple - no associated fracture of acetabulum/proximal femur,,trauma,pelvis,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
What knee injury should you specifically evaluate for in a patient with a posterior hip dislocation following a motor vehicle crash?,PCL injury secondary to impaction with the dashboard,,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
Which nerve is most commonly injured following a posterior hip dislocation?,Sciatic nerve,Most commonly the peroneal division,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
The incidence of what complication increases with increased time to reduction of a dislocated hip?,Femoral head AVN,,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
"Following successful reduction of a hip dislocation, what type of immobilization should be used?",Knee immobilizer and abduction pillow,,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
What imaging should be obtained following a native hip reduction?,CT scan,"To evaluate the reduction, marginal impaction, loose bodies in the joint, associated fractures of the acetabulum/femoral head",trauma,pelvis,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
What may be done in an unstable posterior hip dislocation to help keep the hip reduced prior to surgery?,Skeletal traction,,trauma,hip,,,,trauma,trauma::traumahipdislocations,trauma::traumahipdislocations,,
What is the classification for femoral head fractures?,Pipkin Classification,Type I: Infrafoveal Type II: Suprafoveal Type III: Type I or II with associated femoral neck fracture Type IV: Type I or II with associated acetabulum fracture,trauma,pelvis,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What are the operative indications for femoral head fractures?,1) Intra-articular loose body 2) Pipkin II with >1mm step-off 3) Pipkin III and IV fractures,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
Which surgical approach allows for improved visualization of the femoral head during ORIF?,Anterior/Anterolateral,Posterior approach has the worse visualization and is associated with poorer outcomes,trauma,hip,,,orif,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the most common treatment for femoral head fractures in elderly patients?,Arthroplasty,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What are the two (2) classifications for femoral neck fractures?,Garden Classification Pauwel's Classification,"Garden - based on displacement -Type I: Incomplete, non-displaced fracture (valgus impacted) -Type II: Complete, non-displaced fracture -Type III: Complete fracture with <100% displacement -Type IV: Complete fracture with >100% displacement       Pauwel's - based on the trajectory of the fracture line from the horizontal plane -Type I: <30° angle -Type II: 30-50° angle -Type III: >50° angle",trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
How are femoral neck fractures described by anatomic location?,Subcapital Transcervical Basicervical,,trauma,cervical spine,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
How will the lower extremity appear with a hip fracture?,"Shortened, externally rotated",,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What are three (3) most common surgical treatment options for femoral neck fractures?,ORIF Hemiarthroplasty Total hip arthroplasty,,trauma,hip,,,orif,trauma,lowerextremity::hip,lowerextremity::hip,,
"In a young patient with a femoral neck fracture, what is the treatment of choice?",ORIF,Dynamic hip screw (DHS) or 3 screws,trauma,hip,,,orif,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the preferred screw configuration for femoral head fracture when treating with 3 screws?,Inverted triangle,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
In which order are the screws placed when utilizing an inverted triangle configuration?,1) Inferiorly along the calcar 2) Posterior-superior 3) Anterior-superior,"Important to start inferior through calcar because that area has good bone. Posterior is 2nd most important because when you walk, your hip wants to displace posteriorly.",trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
What complication may occur with screw placement starting distal to the lesser trochanter during fixation of femoral head/neck fracture?,Subtrochanteric fracture secondary to creation of a stress riser,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
What are the two (2) types of femoral neck stress fractures?,Compression sided (inferior) Tension sided (superior),,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
Which femoral neck stress fracture may be treated nonoperatively?,Compression sided,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
How does the healing potential of intertrochanteric (IT) fractures differ from femoral neck fractures?,IT have better healing potential,B/c they... 1) are extracapsular 2) have periosteum 3) soft tissue attachment,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What makes an IT fracture unstable?,1) Reverse obliquity 2) Fracture extension into the subtrochanteric region 3) Disrupted medial calcar 4) Disruption of the lateral cortex,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What are the non-arthroplasty surgical treatment options for IT fractures?,1) Sliding hip screw (SHS) 2) Cephalomedullary nail (CMN),,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
Sliding hip screws should be avoided in which type of IT fractures?,Unstable fracture patterns,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
What is the Tip-to-Apex distance (TAD)?,Combined distance from the tip of the screw to the apex of the femoral head on the AP to lateral views,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
What is the importance of the TAD?,TAD >25mm is associated with screw cutout,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,scr
What is the classification for subtrochanteric femur fractures?,Russel-Taylor,Type I: Intact piriformis fossa -IA: Lesser trochanter attached to the proximal fragment -IB: Lesser trochanter detached from proximal fragment Type II: Fracture extends into the piriformis fossa -IIA: Stable posteromedial buttress -IIB: Comminution of the lesser trochanter,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What features are suggestive of an atypical femur fracture?,1) Subtrochanteric 2) Absence of major trauma 3) Transverse 4) Lateral cortical thickening 5) Medial cortical spike 6) Prodromal symptoms 7) No comminution,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the most common surgical treatment for subtrochanteric femur fractures?,Intramedullary nail,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the advantage of placing an intramedullary nail with the patient in the lateral decubitus position?,Allows for easier reduction of fracture fragments,,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is the most common malunion following antegrade IMN for subtrochanteric femur fractures?,Varus and procurvatum,Varus - too lateral Procurvatum - too inferior,trauma,hip,,,,trauma,lowerextremity::hip,lowerextremity::hip,,
What is a Cam lesion?,Aspherical femoral head,,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
What is a Pincer lesion?,Overhang of the anterosuperior acetabular rim,,sports,pelvis,,,,sports,lowerextremity::hip,lowerextremity::hip,,
Cam lesions are most commonly seen in what patient population?,"Young, athletic males",,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
Pincer lesions are most commonly seen in what patient population?,Middle aged females,,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
What motion is most limited with FAI?,"Flexion, adduction, and internal rotation",,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
Labral tears in which location are most common with FAI?,Anterosuperior,,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,labral tear,
"In the treatment of FAI with hip arthroscopy, what nerve injury most commonly occurs secondary to traction?",Pudendal nerve neuropraxia,,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
"""What is the cause of internal coxa sultan?","Iliopsoas tendon """"snapping"""" over the femoral head or lesser trochanter""",,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
"""What is the cause of external coxa sultan?","IT band """"snapping"""" over the greater trochanter""",,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
What is the cause of intra-articular coxa sultan?,Loose body within the hip joint,,sports,hip,,,,sports,lowerextremity::hip,lowerextremity::hip,,
What are the four (4) most commonly used approaches for THA?,Anterior (Smith-Petersen) Anterolateral (Watson-Jones) Direct Lateral (Hardinge) Posterior (Southern-Moore),,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What are the superficial and deep intervals for the anterior approach (Smith-Petersen) to the hip?,Superficial:   Tensor fascia latae (Superior gluteal nerve) Sartorius (Femoral nerve)    Deep:  Gluteus medius (Superior gluteal nerve) Rectus femoris (Femoral nerve),,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What is the interval for the anterolateral approach (Watson-Jones) to the hip?,Tensor fascia latae (Superior gluteal nerve) Gluteus medius (Superior gluteal nerve),,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
What are the steps involved in the posterior (Southern-Moore) approach to the hip?,1) Split the gluteus maximus (inferior gluteal nerve) 2) Retract the gluteus medius anteriorly 3) Identify piriformis and short external rotators 4) Detach external rotators 5) Dislocate the hip,,,hip,,,,lowerextremity,lowerextremity::hip,lowerextremity::hip,,
