question,answer,additional_info,metadata.specialty,metadata.specialty2,metadata.region,metadata.subregion,metadata.diagnosis,metadata.diagnosis2,metadata.diagnosis3,metadata.diagnosis4,metadata.diagnosis5,metadata.procedure
What is the lateral antebrachial cutaneous nerve a continuation of and what is its course at the elbow?,"The lateral antebrachial cutaneous nerve is a continuation of the musculocutaneous nerve. It emerges laterally from between the biceps and brachialis at the elbow, then passes lateral to the cephalic vein.",,hand,shoulderelbow,forearm,,,,,,,
What do the digital arteries arise from? What is their course in relation to the digital nerves?,"Arise from superficial palmar arch, run dorsal to the digital nerves",,hand,,hand,,,,,,,
What are sites of potential compression of the median nerve (6)?,Ð_ligament of struthers Ðpronator teres ÐFDS aponeurosis Ðbicipital aponeruosis Ðaccessory head of the FPL Ðcarpal tunnel,,hand,,forearm,,,,,,,
What is AIN syndrome?,Compression or inflammation of the AIN of the forearm causing a PURELY MOTOR deficit of FPL/IF and MF DFP/PQ   may have pain at the forearm,,hand,,forearm,,ain_syndrome,,,,,
What are the potential sites of compression of the ulnar nerve (7)?,-arcade of Struthers -medial intermuscular septum -cubital tunnel (between MCL and Osborne ligament) -medial epicondyle -2 heads of FCU -anconeus epitrochlearis -Guyon canal,,hand,,elbow,,,,,,,
What are the differences between proximal (cubital tunnel) and distal (Guyon canal) ulnar nerve compression?,"Proximal (cubital tunnel) compression presents with a dorsal hand sensory deficit involving the dorsal cutaneous branch of the ulnar nerve. Distal (Guyon canal) compression is characterized by more ulnar clawing, which involves unopposed extension at the metacarpophalangeal joints and unopposed flexion at the interphalangeal joints of the ring and small fingers.",,hand,,forearm,,,,,,,
What are the sites of potential compression of the radial nerver (5)?,Ð_fibrous bands at the elbow joint Ðrecurrent leash of Henry ÐECRB Ðarcade of Frohse Ðsupinator,,shoulderelbow,,elbow,,,,,,,
How should the forearm be positioned to protect the PIN during the lateral approach to elbow (Kaplan)? Which direction does it move?,Pronate the forearm PIN moves anteriorly and radially,,shoulderelbow,hand,elbow,,,,,,,
How should the forearm be positioned to protect the PIN during the posterior approach to the forearm (Thompson approach)?,Pronate forearm to protect PIN PIN moves anteriorly and radially,,hand,trauma,forearm,,,,,,,
How should the forearm be positioned to protect the PIN during the anterior approach to the forearm (Henry approach)? Where does it move?,Supinate forearm to protect PIN PIN moves ulnarly (posteriorly and laterally),,hand,,forearm,,,,,,,
What separates the great and lesser sciatic notch?,Iliac spine,,recon,,pelvis,,,,,,,
What separates the greater and lesser sciatic foramina?,sacrospinous ligament (anterior sacrum to ischial spine),,recon,,pelvis,,,,,,,
What is a potential complication of a piriformis start point in pediatric femoral nail insertion?,THreatens the posterosuperior retinacular vessels (potential for femoral head AVN),,peds,,thigh,,,,,,,femoral nail
Slipped capital femoral epiphysis occurs through which physeal zone?,Zone of hypertrophy,,peds,,non-anatomic,,,,,,,
What are the functions of the acetabular labrum?,"The functions of the acetabular labrum include deepening the socket to enhance stability, aiding in load transmission, maintaining a vacuum seal within the joint, regulating synovial fluid hydrodynamics, and assisting in joint lubrication.",,recon,sports,hip,,,,,,,
What is the strongest ligament in the body? What does it attach to?,Iliofemoral ligament (Y ligament of Bigelow) Attaches to AIIS and intertrochanteric line (like an inverted Y),,sports,,hip,,,,,,,
Which tibial plateau is concave? Which is convex?,Medial tibial plateau--Concave Lateral tibial plateau--Convex,,trauma,,knee,tibial plateau,,,,,,
At the knee joint is there greater osseous congruity medially or laterally?,Medially (medial tibial plateau is concave),,recon,,knee,,,,,,,
What is a bipartite patella?,Failure of fusion of the superolateral corner of the patella--commonly confues with patella fracture,,sports,,knee,patella,,,,,,
Define menisci red and white zones and their healing capacity?,"Red zone--peripheral 1/3 of menisci, vascular, can repair   White zone--inner 2/3 of menisci, nourished by synvial fluid, limited healing capacity",,sports,,knee,meniscus,,,,,,
What are the two bundles of the ACL and when are they tight?,"The anteromedial bundle is tight in flexion, while the posterolateral bundle is tight in extension.",,sports,,knee,acl,,,,,,
Which ACL bundle is tested with a pivot shift exam?,Posterolateral bundle,,sports,,knee,acl,,,,,,
What are the two bundles of the PCL and when are they tight?,"The anterolateral bundle of the PCL is tight in flexion, while the posteromedial bundle is tight in extension.",,sports,,knee,pcl,,,,,,
What are the results of a dial test and what do they indicate?,Rotational instability at 30 degrees only indicates a Posterior Lateral Corner (PLC) injury. Rotational instability at both 30 and 90 degrees indicates a combined PLC and Posterior Cruciate Ligament (PCL) injury.,,sports,,knee,plc,,,,,,
Isolated posterior cruciate ligament (PCL) injuries cause greatest knee instability at what degree of knee flexion?,90 degrees,,sports,,knee,pcl,,,,,,
What is the primary blood supply to the talar body? What is it supplied by?,Artery of the tarsal canal (posterior tibial artery),,footankle,,foot,talus,,,,,,
What are the 3 lateral ligaments of the ankle and what motions do they limit?,"The 3 lateral ligaments of the ankle are the anterior talofibular ligament, which limits inversion in plantar flexion; the calcaneofibular ligament, which limits inversion in neutral or dorsiflexion; and the posterior talofibular ligament, which limits posterior talar displacement and external rotation.",,footankle,,ankle,,,,,,,
What are the 4 ligaments of the ankle syndesmosis?,"The 4 ligaments of the ankle syndesmosis are AITFL (anterior inferior tibiofibular ligament), PITFL (posterior inferior tibiofibular ligament), Transverse tibiofibular ligament, and Interosseous ligament.",,footankle,,ankle,,,,,,,
What is the spring ligament? What does it do? In what deformity is it attenuated?,_ÐPlantar calcaneonavicular ligament Ðsupports head of talus Ðattenuated in pes planus deformity,,footankle,,midfoot,,,,,,,
What does the Lisfranc ligament connect?,medial cuneiform to 2nd metatarsal,,footankle,,midfoot,lis franc,,,,,,
What structures course along the posterior border of the medial malleolus?,"""--Tibialis posterior tendon --flexor Digitorum longus tendon --Neurovascular bundle --flexor Hallucis longus tendon   """"Tom, Dick, and a Very Nervous Harry""""   TP    FDL           Vein  Nerve     FHL""",,footankle,,ankle,,,,,,,
What 6 nerves exit the pelvis below the piriformis?,POP's IQ   --Pudendal --nerve to Obturator internus --Posterior femoral cutaneous --Sciatic --Inferior gluteal --nerve to Quadratus femoris,,trauma,,pelvis,,,,,,,
What nerve supplies the skin medial side of the anterior knee and patellar ligament? In what 2 surgeries is it commonly injured?,Infrapetallar branch of the saphenous nerve   Can be damaged in patellar tendon harvest or TKA,,trauma,,knee,,,,,,,total knee arthroplasty
"In hip surgery, injury to the obturator nerve and artery can occur when retractors are placed where?",Behind the transverse acetabular ligament,,recon,,pelvis,,,,,,,
Injury to the obturator nerve and artery can occur when acetabular screws are placed where?,Screw placement in the anteroinferior quadrant of the acetabulum,,trauma,,pelvis,,,,,,,
What is the most proximal branch of the lateral plantar nerve? What is its eponym?,Nerve to the abductor digiti quinti (Baxter nerve),,footankle,,foot,,,,,,,
"What nerve supplies sensation to the dorsomedial aspect of the great toe, and what is it a branch of?",The dorsal medial cutaneous nerve supplies sensation to the dorsomedial aspect of the great toe and is a branch of the superficial peroneal nerve.,,footankle,,foot,,,,,,,
What is the corona mortis?,An anastomitic connection between: --the inferior epigastric branch of the external iliac vessels --the obturator vessels in the obturator canal,,trauma,,pelvis,,,,,,,
The medial and lateral femoral circumflex vessels are named for location relative to what?,The iliopsoas tendon.,,recon,,hip,,,,,,,
What do the medial and lateral geniculate arteries supply? What does the middle geniculate artery supply?,Medial and lateral geniculates--supply the menisci Middle geniculate--supplies the cruciate ligaments,,sports,recon,knee,,,,,,,
The Stoppa modification is a modification to what approach? What access does it provide?,Modification to the ilioinguinal approach. Uses a more extensive medial window and provides access to the pelvic brim and quadrilateral plate,,trauma,,pelvis,,,,,,,
The superior gluteal nerve passes between the gluteus medius and minimus how far from the greater trochanter?,5cm proximal to the tip of the greater trochanter,,trauma,,hip,,,,,,,
50% of total neck flexion an extension occurs where?,Occiput-C1 articulation,,spine,,cervical spine,,,,,,,
50% of total neck rotation occurs where?,C1-C2,,spine,,cervical spine,,,,,,,
The vertebral artery travels in the transverse foramina of what? What is it a branch of? What is its distance from the spinous process of C1 laterally?,Travels in transverse foramina of C6 to C1 (NOT C7)   Branches from the subclavian artery   2cm from the spinous process of C1 laterally,,spine,,cervical spine,,,,,,,
What is the normal diameter of the cervical spine canal?,17mm,,spine,,cervical spine,,,,,,,
The cervical cord may become compromised when the spinal canal diameter is less than what?,Less than 13mm,,spine,,cervical spine,,,,,,,
Which vertebra has the narrowest pedicles?,T5,,spine,,thoracic spine,,,,,,,
Which ligament is the major stabilizer of the atlantoaxial joint?,The transverse ligament,,spine,,cervical spine,,,,,,,
How the fibers of the annulus fibrosus oriented and what is it composed of?,"Obliquely oriented, composed of type 1 collagen",,spine,,spine,,,,,,,
What is the central nucleus pulposus made of?,Type 2 collagen,,spine,,spine,,,,,,,
In the cervical spine the numbered nerve exits where in relation to the vertebral level?,Nerve exits at a level above the pedicle of the corresponding vertebral level (C2 nerve exits at level vertebrae C1-C2),,spine,,cervical spine,,,,,,,
In the lumbar spine the numbered nerve exits where in relation to the vertebral level? What does it traverse?,nerve root traverse the respective disc space above the named vertebral body and exits the respective foramen under the pedicle,,spine,,lumbar spine,,,,,,,
Central disc herniation impinges on what? Lateral disc herniation impinges on?,Central disc herniation--impinges on traversing nerve root.  Lateral disc herniation--iminges on exiting nerve root,,spine,,lumbar spine,,,,,,,
Which nerve root is at particular risk with sacral fractures and errant anteriorly placed iliosacral screws?,L5--relatively fixed to the anterior sacral ala,,spine,,spine,,,,,,,
Disruption of the inferior cervical gangla can lead to what?,Horner syndrome -ptosis -miosis -anhidrosis,,spine,,cervical spine,,,,,,,
Right sided anterior cervical approaches may risk injuring what? How is it identified?,"Recurrent laryngeal nerve injury -hoarse voice, scratchy voice -unilateral vocal cord paralysis visualized on direct laryngoscopy",,spine,,cervical spine,,,,,,,
What does the recurrent laryngeal nerve arise from? At what level on the right and left?,Arises from the vagus nerve -Right--at the level of the the subclavian artery -Left--at the level of the aortic arch,,spine,,shoulder,,,,,,,
What is the most common complication with a posterior cervical approach?,postoperative C5 palsy,,spine,,cervical spine,,,,,,,
Injury to the lumbar plexus can cause what? Specifically what part of the lumar plexus?,_Ðsexual dysfunction and retrograde ejaculation   ÐInjury to the superior hypogastric plexus of the sympathetic plexus that overlies the Q5 vertebral body,,spine,,lumbar spine,,,,,,,
At what spinal level do the great vessels bifurcate?,L4-L5 disc,,spine,,lumbar spine,,,,,,,
What is the safe zone for anterolateral halo pins?,1cm superior to the orbital rim in the outer 2/3 of the orbit below the equator of the skull,,spine,,hand,,,,,,,
What are the 3 types of joints and how are they defined?,"The 3 types of joints are: 1) Synarthrosis, which is the joining of two bony elements with no motion during maturity (e.g. skull sutures). 2) Amphiarthrosis, which have hyaline cartilage and intervening discs with limited motion (e.g. pubic symphysis). 3) Diarthrosis, which have hyaline cartilage, synovial membranes, capsules, and ligaments.",,basicscience,,pelvis,,,,,,,
What do peripheral nerves originate from?,The ventral rami of spinal nerves,,basicscience,,hand,,,,,,,
What 4 structures attach to the coracoid process?,_Ðcoracoacromial ligament Ðcoracoclavicular ligmants (conoid and trapezoid) Ðconjoined tendon (coracobrachialis and short head of biceps) Ðpec minor,,shoulderelbow,,shoulder,coracoid,,,,,,
How would you describe the humeral head orientation relative to the transepicondylar axis of the humerus?,The humeral head is 30 degrees retroverted.,,shoulderelbow,,shoulder,humeral head,,,,,,
What helps hold the long head of biceps tendon in the bicipital groove? Eponym?,"transverse humeral ligament, Brodie's ligament",,shoulderelbow,,shoulder,,,,,,,
