#separator:tab
#html:true
#tags column:12
<div><div><div><b>McCune-Albright syndrome</b> is due to a mutation affecting {{c1::Gs-protein}} signaling</div><div><br></div><div><br></div></div></div>		Seen in mosacism				"<img src=""tmp5SPRJp_1566160514431.png""><br><img src=""tmpleGToH_1566160514431.png"">"	"<img src=""paste-97efce2b775ba0d409ae10a46538937ad9516f91.jpg"">"				"#AK_Step1_v9::#B&B::10_Genetics::01_Concepts::01_Genetic_Principles #AK_Step1_v9::#FirstAid::01_Biochem::04_Genetics::01_Genetic_terms #AK_Step1_v9::#Pixorize::02_Biochem::25_Misc::05_McCune-Albright_Syndrome #AK_Step1_v9::#SketchyPath::07_Endocrine::01_Hypothalamic_&_Pituitary_Disorders::03_Hyperpituitarism #AK_Step1_v9::#UWorld::11653 #AK_Step1_v9::^HighYield::2-RelativelyHighYield #AK_Step1_v9::Biochem::genetics Ortho::Clerkships::Onc"
Muscles of the hypothenar eminence:<div>1. {{c1::Opponens digiti minimi}}</div><div>2. {{c2::Abductor digiti minimi}}</div><div>3. {{c3::Flexor digiti minimi brevis}}</div>	<br /><div><b>O</b>ppose, <b>A</b>bduct, <b>F</b>lex (OAF)</div>										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::06_Hand_muscles #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::06_Hand_muscles #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::dorsal}} interossei {{c2::a<b>B</b>duct}} the fingers; the {{c1::palmar}} interossei {{c2::a<b>D</b>duct}} the fingers.	"<div><br /></div><b>DAB</b>: <b>D</b>orsals <b>AB</b>duct; <b>PAD</b>: Palmars <b>AD</b>duct<br /><div><img src=""Unknown-1.jpeg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::06_Hand_muscles #AK_Step1_v9::Musculoskeletal::Anatomy"
The lumbricals {{c1::flex}} at the {{c2::MCP}} joint and {{c1::extend}} at the {{c2::PIP and DIP}} joints	"<br /><div>it look like dis</div><div><img src=""lumbricals-action.gif"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::05_Hand #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::06_Hand_muscles #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::iliohypogastric}} nerve ({{c2::T12-L1::nerve roots}}) provides:<div><br><div>- <u>sensory</u> innervation to the {{c3::<b>suprapubic</b> <b>region</b>}} </div><div>- <u>motor</u> innervation to the {{c4::<b>transversus</b> <b>abdominis</b>}} and {{c4::<b>internal</b> <b>oblique</b>}}</div></div>	"<div>- the anterior branch innervates the skin over the puic region, lateral branch innervates the gluteal region</div><img src=""paste-15192cf840465650bbe69bc484e8172b70688281.jpg""><br><div><img src=""paste-32173600014337.jpg""></div><div><img src=""paste-46110768889857.jpg""></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The iliohypogastric nerve is commonly injured due to <b>post abdominal surgery {{c1::sutures}}</b>	"Common injured in laparotomy, laparoscopic surgery, hernia surgery, hysterectomy, appendectomy<div>- in these surgeries, surgeons commonly make <b>transverse incisions</b> across lower abdomen or pelvis</div><div>- when the surgery is done and wound sutured, sutures may trap this nerve (especially at edge)</div><div><br /><div><img src=""paste-32177894981633.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the iliohypogastric nerve often presents as burning or tingling pain at the {{c1::surgical incision site}} radiating to the inguinal and suprapubic region	"If the anterior branch alone is injured (ex. appendectomy), there will be decreased sensation at the pubic region<br /><div><br /><div><img src=""paste-32173600014337.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::genitofemoral}} nerve ({{c2::L1-L2::(nerve roots)}}) provides:<div><br><div>- sensory innervation to the {{c3::scrotum/labia majora::genital area}} and {{c3::upper anterior thigh::femoral area}} </div><div>- motor innervation to the {{c4::cremaster}}</div></div>	"<div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#NBME::Form_22 #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c3::genitofemoral}} nerve is commonly injured due to <b>laparoscopic surgeries </b>for {{c1::<b>inguinal</b> <b>hernias</b>}} or by <b>{{c2::retractor blades}}</b> used in abdominal surgery	"-<b> Inguinal hernia surgery </b>is often done with laparoscopic surgery, the genitofemoral nerve traverses the inguinal hernia repair operative field<div><br /></div><div>- additionally, can be damaged by <b>retractor blades</b> in abdominal surgery<br /><div><img src=""paste-34303903793153.jpg"" /></div></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#NBME::Form_22 #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the {{c1::genitofemoral}} nerve presents as decreased sensation of {{c2::upper anterior thigh}} and an absent {{c3::cremasteric reflex}}.	"Basically, the anterior thigh below the inguinal ligament<br><div><img src=""paste-46106473922561.jpg"" draggable=""false""></div>"	cremasteric reflex is where stroking of the inner thigh causes scrotum to rise									"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#NBME::Form_22 #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::lateral femoral cutaneous}} nerve ({{c2::L2-L3}} (nerve roots)) provides sensory innervation to the {{c3::anterior and lateral thigh}} and motor innervation to the {{c4::<b>none</b>}}.	"<div><br /></div>NO motor innervation; don't be fooled!<br /><div><img src=""paste-34686155882497.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The lateral femoral cutaneous nerve is commonly injured (<b>meralgia paresthetica</b>) due to {{c1::tight clothing}}, {{c1::obesity}} or {{c1::pregnancy}}	"can be injured during hyperflexion of the thighs in the lithotomy position for pelvic surgery or a vaginal delivery<br /><div><img src=""paste-34681860915201.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the {{c1::lateral femoral cutaneous}} nerve presents as {{c2::decreased anterior and lateral thigh sensation}}.	"<br /><div><img src=""paste-38680475467777.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::Obturator}} nerve ({{c2::L2-L4}} (nerve roots)) provides:<div>- sensory innervation to the {{c3::distal medial thigh::very specific}} </div><div>- motor innervation to the thigh {{c4::adductor}} muscles</div>	"These muscles include obturator externus, adductor longus, adductor brevis, gracilis, pectineus, adductor magnus<div><br /><div><img src=""paste-39200166510593.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::^EXPN #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::^EXPN #AK_Step1_v9::Musculoskeletal::Anatomy"
The obturator nerve is commonly injured due to <b>surgery </b>of the {{c1::<b>posterior</b>}} <b>pelvis</b> using a <u>trocar</u>	<div>- To access the obturator nerve you must go in the pelvis (thus more commonly injured in pelvic surgery) whereas the femoral nerve runs through the pelvis (thus more commonly injured in pelvic fracture)</div><div><br /></div><div>- other causes include pelvic trauma, tumors (ex. <b>bladder cancer</b>)</div>										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the {{c1::obturator}} nerve presents as {{c2::decreased medial thigh sensation and adduction::both sensation and action}}.	"<br /><div><img src=""paste-39195871543297 (2).jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::femoral}} nerve ({{c2::L2-L4}} (nerve roots)) provides:<br>- sensory innervation to the {{c3::anterior thigh and medial leg}}<div>- motor innervation to the {{c4::quadriceps}}, {{c4::iliopsoas}}, {{c5::pectineus}}, and {{c5::sartorius}}</div>	"- iliopsoas and pectineus = hip flexor<br><img src=""paste-41759d96444fdabf89b38a2e2f7913362208bfd0.jpg""><br><div>- quadriceps = rectus femoris, vastus lateralis, vastus intermedius, vastus medialis<br><div><br><div><img src=""paste-40587440947201.jpg""></div><div><img src=""paste-46106473922561.jpg""></div></div></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#NBME::Form_22 #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The femoral nerve is commonly injured due to {{c1::pelvic fracture}}.	"<br /><div><img src=""paste-40583145979905.jpg"" /></div>"									"<img src=""big_5081d917e8923.jpg""><img src=""5081d917e8923.jpg""><div><br></div><div><div><div>Symphysic diastasis and sacroiliac dislocation</div></div><div><div><div>X-ray of the pelvis (AP view)</div><div>The gap between the superior pubic rami (green overlay), which usually lie adjacent to one another (white overlay), is widened. This condition is termed symphysic diastasis. This injury is accompanied by a right sacroiliac dislocation (red overlay) and a left iliac bone fracture (red arrows). The injury on the left side cannot be accurately assessed because of the superimposed hand.</div><div>Diagnosis: type C injury of the pelvic ring</div></div></div></div><div><br></div><div><img src=""paste-cd2de7fdb915ce3113d0143ec8378838afef1b87.jpg""><img src=""paste-21e90d3a7a5f20964c3811b758862225ab2df6bc.jpg""><br></div><br/>"	"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the {{c1::femoral}} nerve presents as <b>decreased</b> <u>thigh</u> {{c2::flexion}} and <u>leg</u> {{c2::extension}}	"<br /><div><img src=""paste-40583145979905.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v9::#AMBOSS::Musculoskeletal #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::sciatic}} nerve ({{c2::L4-S3}} (nerve roots)) provides:<div><br><div>- sensory innervation to the {{c3::posterior thigh}} </div><div>- motor innervation to the {{c4::semitendinosus}}, {{c4::semimembranosus}}, {{c5::biceps femoris (long head)}}, and {{c5::hamstring portion of the adductor magnus}}</div></div>	"*<i>long head of the biceps femoris&nbsp;</i><div><i><br></i><div><img src=""paste-41974715383809.jpg"" draggable=""false""></div><div><img src=""paste-46106473922561.jpg"" draggable=""false""></div></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::$AnKingUpdates::$Errata::v7 #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::$AnKingUpdates::$Errata::v7 #AK_Step1_v9::Musculoskeletal::Anatomy"
The <b>sciatic nerve i</b>s commonly injured due to:<div>- {{c1::a herniated disc}}</div><div>- {{c2::posterior hip dislocation}}</div><div>- {{c3::piriformis syndrome}}</div>	"<div>- can use the <b>straight leg test</b> to help screen (very sensitive)</div><div><br /></div><div><img src=""paste-41974715383809.jpg"" /></div>"	<div><div>Piriformis syndrome: A disorder in which the piriformis muscle in the buttocks irritates the sciatic nerve.</div></div><div><div><div></div><div>Symptoms include pain, tingling, or numbness in the buttocks and down the leg, which may worsen after sitting for a long time, climbing stairs, walking, or running.</div></div></div>									"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::08_Lumbar_Radiculopathy #AK_Step1_v7::^EXPN::BGadd #AK_Step1_v7::^EXPN::Uworld #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::08_Lumbar_Radiculopathy #AK_Step1_v9::#UWorld::11727 #AK_Step1_v9::^EXPN::BGadd #AK_Step1_v9::^EXPN::Uworld #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::sciatic}} nerve splits into the {{c2::common peroneal/fibular}} nerve and the {{c2::tibial}} nerve	"<br /><div><img src=""paste-41974715383809.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::<u><b>common</b></u> peroneal}} nerve ({{c2::L4-S2}} (nerve roots)) provides:<div><br></div><div>- <u>sensory innervation</u> to the {{c3::dorsum of the foot}} </div><div>- <u>motor innervation</u> to the {{c4::short head biceps femoris::proximal}}, {{c4::tibialis anterior}}, and {{c5::extensor muscles of the foot}}.</div>	"<div>AKA common fibular nerve; this is the <b>most commonly injured</b> leg nerve</div><div><br /></div><div>**<b>common</b> does short head of the biceps femoris</div><div><br /></div><div>**<b>superficial</b> branch does lateral, <b>deep</b> branch does anterior</div><div><img src=""paste-43009802502145.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::common peroneal}} nerve is commonly injured due to<div><br></div><div>- {{c2::trauma}} </div><div>- {{c3::compression of the lateral aspect of the leg (ex Cast)}} </div><div>- a {{c4::fibular neck}} fracture</div>	"<div>compression at the lateral aspect of leg will compress the fibular neck</div><div><br /></div>AKA common fibular nerve<div><br /></div><div><img src=""paste-695385269993473.jpg"" /><br /><div><img src=""paste-43254615638017.jpg"" /></div></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#NBME::Free120_2020_old_and_new #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
Injury to the {{c1::common peroneal}} nerve presents as loss of sensation on {{c2::the dorsum of the foot}} and {{c3::foot drop}} (motor).	"<br /><div>AKA common fibular nerve</div><div><img src=""paste-43250320670721.jpg"" /></div><div><img src=""paste-46106473922561.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#NBME::Free120_2020_old_and_new #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::#UWorld::1803 #AK_Step1_v9::Musculoskeletal::Anatomy"
Foot drop is characterized by a foot that is {{c1::inverted}} and {{c1::plantarflexed}} at rest.	"<br /><div><img src=""paste-43250320670721.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
Foot drop is characterized by loss of {{c1::eversion}} and {{c1::dorsiflexion}} (movements) of the foot.	"<br /><div><img src=""paste-44122199031809.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
"Foot drop results in a ""{{c1::steppage}} gait"""	"<img src=""paste-230459355168769.jpg"" /><br /><div><img src=""paste-44117904064513.jpg"" /></div>"										"#AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::Musculoskeletal::Anatomy"
The {{c1::tibial}} nerve ({{c2::L4-S3}} (nerve roots)) provides:<div>- sensory innervation to the {{c3::sole of foot}} </div><div>- motor innervation to the {{c4::triceps surae (soleus)}}, {{c4::plantaris}}, {{c5::popliteus}}, {{c5::flexor muscles of the foot}}, and {{c6::tibialis posterior}}</div>	"- tibialis posterior is the major muscle involved in foot <b>inversion</b><br><div><img src=""paste-44362717200385.jpg""><br><img src=""paste-2bd033ab52b1153b72be2456586ccc8341b97f7b.jpg""><img src=""paste-1a953eed0cfe0de4a1e35e9c1cd4d876016dfeaa.jpg""><br></div><div><img src=""paste-46106473922561.jpg""></div>"										"#AK_Step1_v7::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v7::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v7::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v7::Musculoskeletal::Anatomy #AK_Step1_v9::#B&B::14_MSK::01_Anatomy_&_Orthopedics::06_Lumbosacral_Plexus #AK_Step1_v9::#FirstAid::11_MSK,_Skin,_&_Connective::01_Anatomy_&_Physiology::09_Lower_extremity_nerves #AK_Step1_v9::#Physeo::02_Anatomy::08_MSK::06_Lumbosacral_Plexus #AK_Step1_v9::Musculoskeletal::Anatomy"
